fk_cuso,fk_dren,consor_nome,AGGREGATO,consor_area,inter_perma_area
"3","1",CONSORZIO IRRIGUO BEALERE PIATTONEA & DAVID,"25",154.43,45.694
"3","1",BEALERA GERBINA,"25",21.20,0.087
"3","1",PARTECIPANZA BEALERA GROSSA DI CUNEO,"25",445.38,27.905
"3","1",CONSORZIO IRRIGUO BEALERA PRAVERO,"25",186.67,53.286
"3","2",EX COMUNE DI BOVES,"25",408.58,44.813
"3","2",EX PARTECIPANZA CANALE NAVIGLIO DI BOVES E SPINETTA,"25",1970.13,22.411
"3","2",CONSORZIO IRRIGUO DI MIGLIORAMENTO FONDIARIO BEALERA CERREA,"26",53.85,53.512
"3","2",CONSORZIO IRRIGUO PLUCIU',"26",20.83,20.566
"3","2",CONSORZIO IRRIGUO VIGNE E COMBE,"26",442.65,9.978
"3","2",CONSORZIO IRRIGUO CANALE TONELLA,"26",137.80,46.408
"3","2",CONSORZIO IRRIGUO LENS,"26",184.82,152.632
"3","2",CONSORZIO IRRIGUO CANALE SERRO,"26",486.86,25.002
"3","2",CONSORZIO IRRIGUO CANALE CARAMELLA,"26",18.62,6.823
"2","2",EX PARTECIPANZA CANALE NAVIGLIO DI BOVES E SPINETTA,"25",1970.13,291.899
"2","2",PARTECIPANZA CANALE VERMENAGNA DI SPINETA,"25",2846.60,177.179
"2","2",CONSORZIO D'IRRIGAZIONE CANALE BROBBIO - PESIO DI MIGLIORAMENTO FONDIARIO,"26",4184.65,0.154
"2","2",GESTIONE ACQUE IRRIGUE COMUNALI DI BEINETTE,"26",204.42,0.044
"2","2",CONSORZIO IRRIGUO CANALE BEALERASSA,"26",945.01,166.060
"3","2",CONSORZIO IRRIGUO CARABIN MONTICELLO,"26",110.93,99.970
"3","2",CONSORZIO IRRIGUO BEALEROTTO MUSSI,"26",142.28,0.643
"3","2",CONSORZIO IRRIGUO CANALE GAMBERERA,"26",160.78,2.794
"3","2",CONSORZIO IRRIGUO E DI MIGLIORAMENTO FONDIARIO ACQUE DEL TORRENTE PESIO,"26",748.53,0.000
"3","2",CONSORZIO D'IRRIGAZIONE CANALE BROBBIO - PESIO DI MIGLIORAMENTO FONDIARIO,"26",4184.65,0.306
"3","2",CONSORZIO IRRIGUO CANALE SERRO,"26",486.86,47.236
"3","2",GESTIONE ACQUE IRRIGUE COMUNALI DI BEINETTE,"26",204.42,15.390
"5","1",1° DISTRETTO IRRIGUO ELETTRICO FERNANDO OLIVERO DI VIGNOLO E CREVASCA,"21",608.67,12.044
"3","2",1° DISTRETTO IRRIGUO ELETTRICO FERNANDO OLIVERO DI VIGNOLO E CREVASCA,"21",608.67,277.319
"3","2",PARTECIPANZA CANALE ROERO,"21",2664.62,0.082
"1","3",EX PARTECIPANZA CANALE NAVIGLIO DI BOVES E SPINETTA,"25",1970.13,71.657
"1","3",PARTECIPANZA CANALE VERMENAGNA DI SPINETA,"25",2846.60,57.563
"1","3",GESTIONE ACQUE IRRIGUE COMUNALI DI BEINETTE,"26",204.42,0.147
"1","3",CONSORZIO IRRIGUO BEALERA DEL MOLINO O D'ANGIE',"26",119.38,12.172
"1","3",CONSORZIO IRRIGUO CANALE BEALERASSA,"26",945.01,159.992
"2","4",CONSORZIO D'IRRIGAZIONE CANALE BROBBIO - PESIO DI MIGLIORAMENTO FONDIARIO,"26",4184.65,138.223
"2","4",GESTIONE ACQUE IRRIGUE COMUNALI DI BEINETTE,"26",204.42,61.718
"2","4",CONSORZIO IRRIGUO CANALE BEALERASSA,"26",945.01,7.230
"4","1",CONSORZIO D'IRRIGAZIONE CANALE BROBBIO - PESIO DI MIGLIORAMENTO FONDIARIO,"26",4184.65,0.082
"4","1",CONSORZIO IRRIGUO CANALE SERRO,"26",486.86,30.786
"3","3",GESTIONE ACQUE IRRIGUE COMUNALI DI BEINETTE,"26",204.42,15.478
"3","3",CONSORZIO IRRIGUO CANALE BEALERASSA,"26",945.01,63.913
"3","1",CONSORZIO D'IRRIGAZIONE CANALE BROBBIO - PESIO DI MIGLIORAMENTO FONDIARIO,"26",4184.65,63.870
"3","1",CONSORZIO IRRIGUO CANALE SERRO,"26",486.86,12.590
"3","1",GESTIONE ACQUE IRRIGUE COMUNALI DI BEINETTE,"26",204.42,47.701
"3","1",CONSORZIO IRRIGUO BEALERA DEL MOLINO O D'ANGIE',"26",119.38,9.518
"3","1",CONSORZIO IRRIGUO CANALE BEALERASSA,"26",945.01,4.640
"3","4",CONSORZIO IRRIGUO VIGNE E COMBE,"26",442.65,244.753
"3","4",CONSORZIO IRRIGUO CANALE SERRO,"26",486.86,136.587
"3","4",GESTIONE ACQUE IRRIGUE COMUNALI DI BEINETTE,"26",204.42,0.213
"6","1",CONSORZIO IRRIGUO RAMO STURA,"25",228.61,16.784
"6","1",CONSORZIO IRRIGUO PIAN DEL CASTELLETTO,"21",31.10,4.341
"6","1",1° DISTRETTO IRRIGUO ELETTRICO FERNANDO OLIVERO DI VIGNOLO E CREVASCA,"21",608.67,0.631
"6","1",CANALE GRASSA SUPERIORE,"25",15.51,0.595
"6","1",PARTECIPANZA BEALERA GROSSA DI CUNEO,"25",445.38,11.827
"6","1",PARTECIPANZA CANALE MORRA,"21",1746.16,7.351
"6","1",PARTECIPANZA CANALI MIGLIA E VIGNOLO,"21",2398.24,0.207
"6","1",CONSORZIO IRRIGUO BEALERA NUOVA 2,"25",287.73,21.745
"6","1",PARTECIPANZA CANALE ROERO,"21",2664.62,14.154
"4","2",CONSORZIO IRRIGUO PIAN DEL CASTELLETTO,"21",31.10,8.037
"3","2",1° DISTRETTO IRRIGUO ELETTRICO FERNANDO OLIVERO DI VIGNOLO E CREVASCA,"21",608.67,183.762
"3","2",PARTECIPANZA CANALE MORRA,"21",1746.16,2.012
"3","2",PARTECIPANZA CANALE ROERO,"21",2664.62,138.851
"1","3",CONSORZIO IRRIGUO CEVA LESEGNO,"28",875.14,31.627
"4","2",CONSORZIO IRRIGUO CEVA LESEGNO,"28",875.14,12.879
"3","4",CONSORZIO IRRIGUO BEALERA NUOVA 1,"27",324.39,0.000
"3","2",1° DISTRETTO IRRIGUO ELETTRICO FERNANDO OLIVERO DI VIGNOLO E CREVASCA,"21",608.67,65.872
"3","2",C.I. SANT'ANNA DI BERNEZZO,"22",499.92,0.335
"3","2",PARTECIPANZA CANALE ROERO,"21",2664.62,269.430
"6","3",CONSORZIO IRRIGUO CEVA LESEGNO,"28",875.14,4.720
"2","4",CONSORZIO IRRIGUO TAVOLERA DI TRINITA',"24",1444.14,148.647
"3","3",PARTECIPANZA CANALE VERMENAGNA DI SPINETA,"25",2846.60,35.185
"3","3",GESTIONE ACQUE IRRIGUE COMUNALI DI BEINETTE,"26",204.42,35.044
