fk_cuso,fk_dren,consor_nome,AGGREGATO,consor_area,inter_perma_area
"6","3",CONSORZIO IRRIGUO DERIVAZIONE PERTUSATA A CHERASCO,"23",762.04,0.563
"6","3",CONSORZIO IRRIGUO NAVIGLIO DI CHERASCO,"23",952.70,2.468
"6","3",CONSORZIO IRRIGUO CANALE PERTUSATA DI BRA,"23",581.37,3.365
"3","4",CONSORZIO IRRIGUO E MIGLIORAMENTO FONDIARIO CANALE NAVIGLIO DI BRA,"23",1569.47,1.882
"2","4",CONSORZIO IRRIGUO E MIGLIORAMENTO FONDIARIO CANALE NAVIGLIO DI BRA,"23",1569.47,125.359
"2","4",CONSORZIO IRRIGUO NAVIGLIO DI CHERASCO,"23",952.70,29.778
"4","2",CONSORZIO IRRIGUO CARTIGNANESE,"19",145.99,5.340
"6","2",C.I. AIATTA,"30",479.90,0.902
"6","2",C.I. BALDISSERESE,"30",341.17,1.940
"4","3",C.I. MADONNA DEL TAVOLETTO,"30",84.26,46.721
"4","3",C.I. AIATTA,"30",479.90,52.594
"4","2",COMUNE DI DRONERO 'CANALE MARCHISA E CANALE TRENTA LITRI',"19",1848.89,14.369
"4","5",CONSORZIO IRRIGUO MASSA PRATI DI SOMMARIVA DEL BOSCO,"23",513.78,53.784
"4","5",CONSORZIO IRRIGUO POZZO VERNE,"23",17.16,0.177
"4","5",CONSORZIO IRRIGUO POZZO AGOSTINASSI,"23",91.79,2.337
"4","5",CONSORZIO IRRIGUO POZZI GRANGIA,"23",163.25,0.956
"4","5",CONSORZIO IRRIGUO DI MIGLIORAMENTO FONDIARIO RIO GRIONE,"23",631.02,0.555
"4","5",CONSORZIO IRRIGUO E MIGLIORAMENTO FONDIARIO CANALE NAVIGLIO DI BRA,"23",1569.47,27.853
"3","4",CONSORZIO IRRIGUO PRABOSCATO VAL DI CORTE,"23",39.05,0.223
"3","4",CONSORZIO IRRIGUO POZZO AGOSTINASSI,"23",91.79,45.323
"3","4",CONSORZIO IRRIGUO POZZO COMUNI,"23",35.99,35.972
"3","4",CONSORZIO POZZO GOLZIO,"23",79.64,10.520
"3","4",CONSORZIO IRRIGUO CANTARIA,"17",25.45,6.367
"3","4",CONSORZIO IRRIGUO PRATRIA DEI RONCHI,"17",64.25,14.126
"3","4",CONSORZIO DI IRRIGAZIONE MANIGA-PRALASSI,"23",66.69,65.636
"3","4",CONSORZIO IRRIGUO POZZI GRANGIA,"23",163.25,9.660
"3","4",CONSORZIO IRRIGUO SPERMASSIMO,"16",99.54,6.910
"3","4",ASSOCIAZIONE IRRIGUA POZZO MEIRANO,"23",32.41,32.392
"3","4",CONSORZIO IRRUGUO BEALERA NUOVA,"23",237.69,6.955
"3","4",CONSORZIO IRRIGUO BEALERA VILLA,"23",123.05,27.064
"3","4",UTENTI SINGOLI RACCONIGI CARMAGNOLA,"16",30.35,16.212
"3","4",AGGREGAZIONE IRRIGUA POZZI MARCHISA,"23",87.57,58.299
"3","4",CONSORZIO IRRIGUO POZZO MANIGA,"23",132.41,62.415
"3","4",C.I. BEALERA E POZZI IRRIGUI DEI MOLINI DI CAVALLERMAGGIORE,"17",611.06,160.886
"4","3",C.I. RIDDONE,"30",177.62,2.376
"4","3",C.I. AIATTA,"30",479.90,0.473
"4","3",C.I. MONTALDO ROERO VERDE,"30",186.38,89.832
"4","3",C.I. AIATTA,"30",479.90,78.691
"4","3",C.I. BALDISSERESE,"30",341.17,27.625
"2","4",CONSORZIO IRRIGUO DELLA PIATTERA,"15",378.24,149.520
"2","4",CONSORZIO IRRIGUO VARAITA PASCO,"15",897.08,0.128
"2","3",C.I. AIATTA,"30",479.90,5.103
"2","3",C.I. BALDISSERESE,"30",341.17,5.452
"4","2",CONSORZIO IRRIGUO TETTI PONTE-BEDALE,"19",265.02,6.586
"3","5",CONSORZIO IRRIGUO POZZI GRANGIA,"23",163.25,13.600
"3","4",COMPARTECIPANZA PER L'AMMINISTRAZIONE DEL CANALE DI MAGLIANO,"26",2555.20,31.832
"3","4",CONSORZIO IRRIGUO LA PIOZZA,"26",859.37,86.642
"3","1",DESTRA STURA BEALERA MAESTRA,"24",122.15,37.526
"7","1",DESTRA STURA BEALERA MAESTRA,"24",122.15,1.070
"6","3",COMUNE DI BENE VAGIENNA GESTIONE SPECIALE BEALERE INTERNE,"24",2240.70,3.089
"6","3",CONSORZIO IRRIGUO TAVOLERA DI TRINITA',"24",1444.14,0.182
"6","3",CONSORZIO IRRIGUO CANALE SARMASSA,"24",3478.20,1.771
"5","1",CONSORZIO IRRIGUO BEALEROTTO,"21",40.99,39.847
"5","1",CONSORZIO IRRIGUO CANALI MARMO E BIARLETTA,"21",123.00,48.691
"5","1",CONSORZIO IRRIGUO DEL TROMBINO,"21",62.45,61.891
"5","1",CONSORZIO IRRIGUO MURAZZO -SAN SEBASTIANO,"21",178.72,49.308
"5","1",CONSORZIO DELLA BEALERA LEONA,"21",1568.90,291.164
"6","1",CONSORZIO IRRIGUO CANALE SARMASSA,"24",3478.20,2.364
"1","3",CONSORZIO IRRIGUO CANALE SARMASSA,"24",3478.20,184.836
"2","3",C.I. AIATTA,"30",479.90,7.308
"1","3",CONSORZIO IRRIGUO LA PIOZZA,"26",859.37,137.410
"3","4",C.I. AIATTA,"30",479.90,42.986
"2","2",CONSORZIO IRRIGUO BOLLANO-ROBELLA,"14",146.94,4.204
"2","2",CONSORZIO IRRIGUO DI VALLE,"14",87.78,3.801
"2","2",CONSORZIO IRRIGUO DEL MULINO,"14",142.60,3.743
"3","2",CONSORZIO IRRIGUO LA FRASCHEA,"14",322.51,41.197
"3","2",CONSORZIO IRRIGUO SAN MARCELLINO,"14",139.39,139.338
"3","2",CONSORZIO IRRIGUO POZZO PROPANOT,"14",253.84,213.440
"3","2",CONSORZIO IRRIGUO MORRA SAN MARTINO,"14",121.73,118.157
"3","2",CONSORZIO IRRIGUO POZZO MOLINO,"14",94.82,94.780
"3","2",CONSORZIO IRRIGUO DELLA MADONNA,"14",192.53,126.658
"3","2",CONSORZIO IRRIGUO POZZO CAMPAGNOLE,"14",81.56,34.208
"3","2",CONSORZIO IRRIGUO TETTO ALTO,"14",83.36,24.805
"3","2",CONSORZIO IRRIGUO SANTA MARIA OCCA,"14",160.00,0.047
"3","2",REVELLO,"14",4124.83,1706.113
"3","2",CONSORZIO IRRIGUO MORRA SAN MARTINO,"14",121.73,0.300
"3","2",CONSORZIO IRRIGUO DI RIFREDDO,"14",157.39,127.936
"3","2",REVELLO,"14",4124.83,48.117
"6","2",C.I. AIATTA,"30",479.90,9.483
"1","3",COMPARTECIPANZA PER L'AMMINISTRAZIONE DEL CANALE DI MAGLIANO,"26",2555.20,147.643
"1","3",CONSORZIO IRRIGUO LA PIOZZA,"26",859.37,110.306
"2","4",CONSORZIO ESTRAZIONE IDRICA BICOCCA,"18",249.11,0.000
"2","4",CONSORZIO IRRIGUO PRESA IDRICA DI SAN VITALE,"18",292.99,40.879
"2","4",CONSORZIO IRRIGUO CANALE LORETO,"18",1725.79,169.053
"2","4",CONSORZIO IRRIGUO CANALE VARAGLIA,"18",845.59,17.693
"6","2",C.I. LAIONE ACQUE,"30",245.50,5.207
"2","2",CONSORZIO IRRIGUO DEL PILONE,"15",1246.78,155.521
"2","2",CONSORZIO IRRIGUO DEL PILONE,"15",1246.78,11.304
"2","4",CONSORZIO DI MIGLIORAMENTO FONDIARIO BORGONUOVO - SAN MARTINO- SAN MARCO,"23",164.72,79.530
"2","4",CONSORZIO IRRIGUO DEL COMUNE DI SANTA VITTORIA D'ALBA,"29",83.44,0.514
"2","4",CONSORZIO IRRIGUO CANALE PERTUSATA DI BRA,"23",581.37,171.226
"2","3",CONSORZIO IRRIGUO CANALE SEIV,"29",578.59,88.293
"2","3",CONSORZIO IRRIGUO DEL COMUNE DI SANTA VITTORIA D'ALBA,"29",83.44,43.526
"1","3",CONSORZIO IRRIGUO COLLINA VERZUOLESE,"15",417.14,8.278
"1","3",CONSORZIO IRRIGUO FALICETTO NORD,"15",415.31,89.274
"1","3",CONSORZIO IRRIGUO PIETRE SCRITTE O DEL MOLCONSIGLIO,"15",299.24,154.803
"1","3",CONSORZIO IRRIGUO PILONE SAN GIOVANNI,"15",260.93,29.019
"1","3",CONSORZIO IRRIGUO RIO TORTO-BEALERE RIUNITE,"15",83.06,38.169
"1","3",CONSORZIO IRRIGUO TORRENTE VARAITA,"15",361.92,61.673
"1","3",CONSORZIO IRRIGUO BEDARELLO,"15",771.39,48.783
"1","3",CONSORZIO IRRIGUO BEDALE DEL CORSO-VILLANOVETTA,"15",129.86,5.374
"1","3",CONSORZIO IRRIGUO RUATA RE-PESCHIERE,"15",461.01,12.730
"1","3",CONSORZIO IRRIGUO VERZUOLO EST,"15",1189.25,135.993
"1","3",CONSORZIO IRRIGUO SANT'EUSEBIO E MORINE DI SALUZZO,"15",807.04,33.797
"4","2",CONSORZIO IRRIGUO BOLLANO-ROBELLA,"14",146.94,71.202
"4","2",CONSORZIO IRRIGUO DEL MULINO,"14",142.60,0.400
"2","2",CONSORZIO IRRIGUO BOLLANO-ROBELLA,"14",146.94,3.846
"2","2",CONSORZIO IRRIGUO DI VALLE,"14",87.78,3.420
"2","2",CONSORZIO IRRIGUO DEL MULINO,"14",142.60,76.265
"6","2",CONSORZIO IRRIGUO BOLLANO-ROBELLA,"14",146.94,3.722
"3","2",CONSORZIO IRRIGUO BEDARELLO,"15",771.39,28.393
"3","2",CONSORZIO IRRIGUO RUATA RE-PESCHIERE,"15",461.01,18.728
"3","2",CONSORZIO IRRIGUO SETTE SALTI,"15",584.67,16.061
"5","4",CONSORZIO IRRIGUO CANALE RADICATI,"15",219.32,0.315
"5","4",CONSORZIO IRRIGUO MANUEL SAN GIOVANNI,"0",97.14,0.441
"5","4",CONSORZIO IRRIGUO BEALERA DI CAMPAGNOLE,"15",493.15,0.358
"5","4",CONSORZIO IRRIGUO BEALERA DI CERVIGNASCO,"15",408.29,1.386
"5","4",CONSORZIO IRRIGUO RUATA RE-PESCHIERE,"15",461.01,11.201
"3","4",CONSORZIO IRRIGUO VALLE BRONDA,"15",266.28,0.264
"3","4",CONSORZIO IRRIGUO CANALE RADICATI,"15",219.32,165.737
"3","4",CONSORZIO IRRIGUO MANUEL SAN GIOVANNI,"0",97.14,96.655
"3","4",CONSORZIO DEI DISTRETTI IRRIGUI A PONENTE DI SALUZZO,"15",561.04,114.206
"3","4",DESTRA STURA BEALERA MAESTRA,"24",122.15,0.829
"3","3",CONSORZIO IRRIGUO LA PIOZZA,"26",859.37,11.926
"4","2",CONSORZIO IRRIGUO BEALERA S.BERNARDO,"14",52.15,8.047
"4","2",CONSORZIO IRRIGUO BEALERA LA PICOTTA,"14",25.22,8.491
"4","2",CONSORZIO IRRIGUO ROSSANO,"14",307.88,15.787
"4","2",CONSORZIO IRRIGUO DI SAN GRATO,"14",371.12,1.004
"1","3",CONSORZIO IRRIGUO DI MIGLIORAMENTO FONDIARIO RIO GRIONE,"23",631.02,11.258
"1","3",CONSORZIO IRRIGUO NAVIGLIO DI CHERASCO,"23",952.70,8.125
"2","4",CONSORZIO IRRIGUO CANALE DL MOLINO-SCARNAFIGI,"15",1306.48,184.778
"2","4",CONSORZIO IRRIGUO DELLA PIATTERA,"15",378.24,150.637
"2","4",CONSORZIO IRRIGUO VARAITA PASCO,"15",897.08,741.523
"2","4",ASSOCIAZIONE CONSORZIO IRRIGUO VIA DI ROMANI E ROCCABIGLIERA,"15",780.70,18.298
"2","4",CANALE COMMENDA (EX ORDINE MAURIZIANO),"15",642.82,79.812
"2","4",CONSORZIO IRRIGUO BEALERA DI CAMPAGNOLE,"15",493.15,179.330
"2","4",CONSORZIO IRRIGUO BEALERA DI CERVIGNASCO,"15",408.29,104.995
"2","4",CONSORZIO IRRIGUO RUATA RE-PESCHIERE,"15",461.01,159.889
"2","4",CONSORZIO IRRIGUO DEL PILONE,"15",1246.78,616.104
"2","4",CONSORZIO IRRIGUO CAGNOLA INFERIORE,"15",175.00,174.921
"2","4",CONSORZIO IRRIGUO SETTE SALTI,"15",584.67,170.845
"2","4",CONSORZIO IRRIGUO SAN GIORGIO,"15",1110.83,810.414
"3","4",DESTRA STURA BEALERA MAESTRA,"24",122.15,1.096
"2","2",CONSORZIO IRRIGUO VENASCA BROSSASCO ROSSANA,"15",142.30,32.909
"4","2",CONSORZIO IRRIGUO VENASCA BROSSASCO ROSSANA,"15",142.30,0.000
"2","4",COMUNE DI BENE VAGIENNA GESTIONE SPECIALE BEALERE INTERNE,"24",2240.70,15.866
"1","3",COMUNE DI BENE VAGIENNA GESTIONE SPECIALE BEALERE INTERNE,"24",2240.70,128.816
"1","3",CONSORZIO IRRIGUO CANALE SARMASSA,"24",3478.20,83.723
"4","3",CONSORZIO IRRIGUO FONTANILE PREPOSITURA,"20",823.63,41.844
"4","3",CONSORZIO IRRIGUO POZZO SAN MARTINO,"20",102.09,0.058
"2","4",CONSORZIO IRRIGUO POZZO CROSIA,"20",33.74,0.004
"2","4",CONSORZIO IRRIGUO CASALITO,"20",359.31,50.722
"2","4",CONSORZIO IRRIGUO CANALE CORTE,"20",189.47,41.171
"2","4",CONSORZO IRRIGUO CANALE INFERNOTTO-ROGGIA ROELLA E MOLINO DELLA VILLA,"20",611.11,25.003
"2","4",CONSORZIO IRRIGUO POZZO S.GIUSEPPE,"21",145.56,0.562
"2","4",CONSORZIO IRRIGUO FONTANILE PREPOSITURA,"20",823.63,213.897
"2","4",CONSORZIO PIOVANI IRRIGAZIONE AGGREGATA,"20",1571.61,553.668
"2","4",CONSORZIO IRRIGUO MELLEA SAMBOIRA,"20",683.95,195.863
"2","4",UTENZE CHEVALLEY,"20",127.38,91.123
"4","2",CONSORZIO IRRIGUO MARTINIANESE,"14",231.45,12.738
"4","2",CONSORZIO IRRIGUO BOLLANO-ROBELLA,"14",146.94,2.111
"4","2",CONSORZIO IRRIGUO DI VALLE,"14",87.78,51.908
"4","2",CONSORZIO IRRIGUO DEL MULINO,"14",142.60,18.133
"4","2",ASSOCIAZIONE CONSORZIO IRRIGUO VIA DI ROMANI E ROCCABIGLIERA,"15",780.70,50.257
"4","2",CONSORZIO IRRIGUO DI RIFREDDO,"14",157.39,26.792
"4","2",TETTI PERTUSIO,"0",244.64,20.809
"4","2",REVELLO,"14",4124.83,125.147
"4","2",CONSORZIO DEI DISTRETTI IRRIGUI A PONENTE DI SALUZZO,"15",561.04,0.016
"3","5",CONSORZIO IRRIGUO DI MIGLIORAMENTO FONDIARIO RIO GRIONE,"23",631.02,15.042
"3","5",CONSORZIO IRRIGUO E MIGLIORAMENTO FONDIARIO CANALE NAVIGLIO DI BRA,"23",1569.47,549.537
"2","4",CONSORZIO IRRIGUO E MIGLIORAMENTO FONDIARIO CANALE NAVIGLIO DI BRA,"23",1569.47,1.330
"2","3","CONSORZIO IRRIGUO ""TORNE""","23",55.25,9.627
"2","3",CONSORZIO IRRIGUO DI MIGLIORAMENTO FONDIARIO RIO GRIONE,"23",631.02,31.830
"2","3",CONSORZIO IRRIGUO E MIGLIORAMENTO FONDIARIO CANALE NAVIGLIO DI BRA,"23",1569.47,43.849
"3","4",COMUNE DI BENE VAGIENNA GESTIONE SPECIALE BEALERE INTERNE,"24",2240.70,34.067
"4","2",CONSORZIO IRRIGUO CHIAPPETTI,"14",135.47,130.511
"4","2",CONSORZIO IRRIGUO ENGANNA,"14",25.25,25.240
"4","2",CONSORZIO IRRIGUO RIO TORTO,"14",153.56,102.491
"3","5",CONSORZIO D'IRRIGAZIONE CANALE BROBBIO - PESIO DI MIGLIORAMENTO FONDIARIO,"26",4184.65,8.717
"7","1",CONSORZIO IRRIGUO PRATI DELL'URBANETTO,"23",45.76,0.008
"2","2",CONSORZIO IRRIGUO POZZO SAN EUGENIO,"18",274.37,47.087
"2","4",CONSORZIO IRRIGUO TAVOLERA SAVELLA,"24",1920.62,21.876
"3","3",CONSORZIO IRRIGUO CANALE SARMASSA,"24",3478.20,15.727
"2","3",CONSORZIO IRRIGUO CANALE PRATIVAI,"18",77.85,21.429
"2","3",CONSORZIO IRRIGUO POZZO PIGNOLO,"18",101.37,7.613
"2","3",CONSORZIO IRRIGUO POZZO FALLETTA E CANALE FALLETTA,"18",58.25,15.128
"2","3",CONSORZIO IRRIGUO VIA STAZIONE,"18",37.90,6.249
"2","3",CONSORZIO IRRIGUO CANALE ATTISSANO,"18",791.18,13.952
"1","3",CONSORZIO IRRIGUO MUSSOTTO VACCHERIA LAVANDARO,"29",2547.91,81.150
"4","1",CONSORZIO IRRIGUO POZZO PIGNOLO,"18",101.37,7.468
"4","1",CONSORZIO IRRIGUO POZZO S. BERNARDO,"18",128.86,0.240
"4","1",COMUNE DI VILLAR SAN COSTANZO-CANALE COMELLA,"19",505.48,121.609
"4","1",CONSORZIO IRRIGUO CANALE ATTISSANO,"18",791.18,61.692
"4","1",COMUNE DI DRONERO 'CANALE MARCHISA E CANALE TRENTA LITRI',"19",1848.89,52.735
"4","1",CONSORZIO IRRIGUO LA PRESIDENZA RAMO BUSCA,"19",1010.13,26.353
"4","1",CONSORZIO IRRIGUO CANALE LORETO,"18",1725.79,11.744
"4","1",CONSORZIO IRRIGUO CANALE VARAGLIA,"18",845.59,2.413
"4","1",CONSORZIO IRRIGUO CANALE CEAGLIA,"19",818.30,94.187
"3","1",CONSORZIO IRRIGUO POZZO SANTO STEFANO,"21",135.66,58.328
"3","1",CONSORZIO IRRIGUO RIVE DI STURA,"21",221.45,0.244
"3","1",CONSORZIO IRRIGUO POZZO DELFINA,"21",274.74,0.171
"3","1",CONSORZIO IRRIGUO DEL TROMBINO,"21",62.45,0.522
"3","1",CONSORZIO IRRIGUO MURAZZO -SAN SEBASTIANO,"21",178.72,98.034
"3","1",PARTECIPANZA CANALE RONCHI MIGLIA,"21",1810.43,3.554
"3","1",CONSORZIO DELLA BEALERA LEONA,"21",1568.90,269.796
"3","1",CONSORZIO DELLA BEALERA NUOVA,"21",841.84,0.799
"5","1",CONSORZIO DELLA BEALERA LEONA,"21",1568.90,0.577
"4","1",CONSORZIO IRRIGUO POZZO SANTO STEFANO,"21",135.66,4.508
"4","1",CONSORZIO DELLA BEALERA LEONA,"21",1568.90,4.508
"6","1",CONSORZIO IRRIGUO POZZO SANTO STEFANO,"21",135.66,2.805
"6","1",CONSORZIO IRRIGUO MURAZZO -SAN SEBASTIANO,"21",178.72,0.011
"6","1",CONSORZIO DELLA BEALERA LEONA,"21",1568.90,17.543
"2","2",COMUNE DI BENE VAGIENNA GESTIONE SPECIALE BEALERE INTERNE,"24",2240.70,207.124
"1","3",CONSORZIO IRRIGUO LA PIOZZA,"26",859.37,24.914
"4","3",CONSORZIO IRRIGUO CANALE SCARRONE,"0",16.92,13.952
"4","3",CONSORZIO IRRIGUO GATTO SOTTANO,"0",11.97,9.565
"4","3",CONSORZIO IRRIGUO BEALEROTTO MUSSI,"26",142.28,36.561
"4","3",CONSORZIO IRRIGUO CANALE GAMBERERA,"26",160.78,2.002
"4","3",CONSORZIO IRRIGUO CANALE MONDINA,"26",146.63,8.044
"4","3",CONSORZIO IRRIGUO GATTO SOPRANO,"0",17.93,16.668
"4","1",COMPARTECIPANZA PER L'AMMINISTRAZIONE DEL CANALE DI MAGLIANO,"26",2555.20,25.734
"2","4",PASCOMONTI,"26",248.57,29.045
"7","1",CONSORZIO IRRIGUO CARABIN MONTICELLO,"26",110.93,2.028
"7","1",CONSORZIO IRRIGUO DI MIGLIORAMENTO FONDIARIO BEALERA CERREA,"26",53.85,0.310
"7","1",CONSORZIO IRRIGUO PLUCIU',"26",20.83,0.257
"7","1",CONSORZIO IRRIGUO VIGNE E COMBE,"26",442.65,3.350
"7","1",COMPARTECIPANZA PER L'AMMINISTRAZIONE DEL CANALE DI MAGLIANO,"26",2555.20,0.139
"7","1",CONSORZIO IRRIGUO CANALE GAMBERERA,"26",160.78,0.678
"7","1",CONSORZIO IRRIGUO CANALE TONELLA,"26",137.80,3.677
"7","1",CONSORZIO IRRIGUO LENS,"26",184.82,10.865
"7","1",CONSORZIO D'IRRIGAZIONE CANALE BROBBIO - PESIO DI MIGLIORAMENTO FONDIARIO,"26",4184.65,92.758
"7","1",CONSORZIO IRRIGUO CANALE CARAMELLA,"26",18.62,2.043
"7","1",CONSORZIO IRRIGUO E DI MIGLIORAMENTO FONDIARIO ACQUE DEL TORRENTE PESIO,"26",748.53,20.407
"3","5",CONSORZIO IRRIGUO CARASSONA,"26",541.21,2.229
"3","5",CONSORZIO D'IRRIGAZIONE CANALE BROBBIO - PESIO DI MIGLIORAMENTO FONDIARIO,"26",4184.65,3.345
"1","3",C.I. SANT'ANNA DI BERNEZZO,"22",499.92,11.635
"1","3",PARTECIPANZA CANALE ROERO,"21",2664.62,35.421
"3","3",COMPARTECIPANZA PER L'AMMINISTRAZIONE DEL CANALE DI MAGLIANO,"26",2555.20,32.925
"4","3",PASCOMONTI,"26",248.57,0.071
"4","1",CONSORZIO D'IRRIGAZIONE CANALE BROBBIO - PESIO DI MIGLIORAMENTO FONDIARIO,"26",4184.65,2.278
"3","2",CONSORZIO D'IRRIGAZIONE CANALE BROBBIO - PESIO DI MIGLIORAMENTO FONDIARIO,"26",4184.65,96.746
"2","4",C.I. LAIONE ACQUE,"30",245.50,5.950
"2","4",PASCOMONTI,"26",248.57,21.766
"3","1",CONSORZIO IRRIGUO CANALE TONELLA,"26",137.80,70.296
"3","1",CONSORZIO IRRIGUO LENS,"26",184.82,18.093
"3","1",CONSORZIO D'IRRIGAZIONE CANALE BROBBIO - PESIO DI MIGLIORAMENTO FONDIARIO,"26",4184.65,186.066
"3","1",CONSORZIO IRRIGUO CANALE SERRO,"26",486.86,118.344
"3","4",PASCOMONTI,"26",248.57,0.000
"6","1",PARTECIPANZA CANALE MORRA,"21",1746.16,0.005
"6","1",PARTECIPANZA CANALI MIGLIA E VIGNOLO,"21",2398.24,12.382
"6","1",PARTECIPANZA CANALE ROERO,"21",2664.62,14.865
"3","2",1° DISTRETTO IRRIGUO ELETTRICO FERNANDO OLIVERO DI VIGNOLO E CREVASCA,"21",608.67,0.327
"3","2",PARTECIPANZA CANALE MORRA,"21",1746.16,828.829
"3","2",PARTECIPANZA CANALI MIGLIA E VIGNOLO,"21",2398.24,351.499
"3","2",PARTECIPANZA CANALE ROERO,"21",2664.62,1018.769
"2","4",CONSORZIO IRRIGUO MADONNA DELLA GUARDIA,"23",114.07,75.477
"2","4",CONSORZIO IRRIGUO FONTANILE PREPOSITURA,"20",823.63,130.332
"2","4",UTENZE CHEVALLEY,"20",127.38,0.008
"3","4",CONSORZIO IRRIGUO FONTANILE PREPOSITURA,"20",823.63,20.616
"6","3",CONSORZIO IRRIGUO BEALERE INTERNE (LEQUIO TANARO),"24",548.23,24.182
"6","3",COMUNE DI BENE VAGIENNA GESTIONE SPECIALE BEALERE INTERNE,"24",2240.70,2.584
"6","3",MORIGLIONE NOVELLO,"29",73.57,0.122
"5","1",CONSORZIO IRRIGUO BEALEROTTO,"21",40.99,1.121
"5","1",CONSORZIO IRRIGUO CANALI MARMO E BIARLETTA,"21",123.00,74.247
"5","1",CONSORZIO IRRIGUO DI CASTELLETTO STURA,"24",787.40,5.579
"5","1",PARTECIPANZA CANALE ROERO,"21",2664.62,2.027
"5","1",PARTECIPANZA CANALE RONCHI MIGLIA,"21",1810.43,17.107
"5","1",CONSORZIO DELLA BEALERA LEONA,"21",1568.90,57.031
"5","1",CONSORZIO IRRIGUO CANALE GRASSA INFERIORE,"25",191.53,0.111
"6","2",CONSORZIO IRRIGUO DI BIBIANA,"12",747.18,0.067
"3","3",CONSORZIO IRRIGUO TETTI PONTE-BEDALE,"19",265.02,9.471
"3","2",CONSORZIO IRRIGUO CANALE DL MOLINO-SCARNAFIGI,"15",1306.48,4.365
"3","2",CONSORZIO IRRIGUO POZZO MORINA,"15",125.96,23.243
"3","2",CONSORZIO IRRIGUO POZZO SANTA CRISTINA,"15",62.07,3.863
"3","2",CONSORZIO IRRIGUO POZZO TINE,"15",124.90,9.732
"3","2",CONSORZIO IRRIGUO POZZO SAN QUIRICO,"15",103.12,3.381
"3","2",CANALE COMMENDA (EX ORDINE MAURIZIANO),"15",642.82,93.206
"3","2",CONSORZIO IRRIGUO BEDARELLO,"15",771.39,125.279
"3","2",CONSORZIO IRRIGUO RUATA RE-PESCHIERE,"15",461.01,23.193
"3","2",CONSORZIO IRRIGUO POZZO DEL PILONE,"15",109.79,51.069
"3","2",CONSORZIO IRRIGUO SETTE SALTI,"15",584.67,125.983
"2","2",CONSORZIO IRRIGUO DELLA PIATTERA,"15",378.24,20.134
"2","2",CONSORZIO IRRIGUO DELLA PIATTERA,"15",378.24,4.347
"2","3",C.I. MADONNA DEL TAVOLETTO,"30",84.26,30.962
"2","3",C.I. AIATTA,"30",479.90,0.327
"2","3",CONSORZIO IRRIGUO CANALE SEIV,"29",578.59,0.002
"4","5",COMUNE DI DRONERO 'CANALE MARCHISA E CANALE TRENTA LITRI',"19",1848.89,50.440
"4","1",CONSORZIO IRRIGUO PRESA IDRICA DI SAN VITALE,"18",292.99,15.980
"4","1",CONSORZIO IRRIGUO CANALE LORETO,"18",1725.79,0.320
"4","1",CONSORZIO IRRIGUO CANALE RONCAGLIA,"18",354.97,11.296
"2","2",COUTENZA CANALI RACCONIGI-CARMAGNOLA,"16",1400.63,4.004
"2","3",CONSORZIO IRRIGUO CANALE CERETTA,"18",243.38,4.929
"2","3",CONSORZIO IRRIGUO POZZO LOSA,"18",133.23,4.451
"2","3",CONSORZIO IRRIGUO POZZO RAMONDA',"18",133.37,6.562
"2","3",CONSORZIO IRRIGUO CANALE RONCAGLIA,"18",354.97,0.173
"2","3",CONSORZIO IRRIGUO CANALE LOSA,"18",273.60,26.073
"3","2",CONSORZIO IRRIGUO CARASSONA,"26",541.21,2.563
"3","2",CONSORZIO D'IRRIGAZIONE CANALE BROBBIO - PESIO DI MIGLIORAMENTO FONDIARIO,"26",4184.65,4.589
"2","4",CONSORZIO IRRIGUO CARASSONA,"26",541.21,68.115
"2","4",CONSORZIO D'IRRIGAZIONE CANALE BROBBIO - PESIO DI MIGLIORAMENTO FONDIARIO,"26",4184.65,947.581
"2","4",CONSORZIO BEALERA FERRETTA,"27",338.67,0.866
"2","4",CONSORZIO IRRIGUO CANALE PISTOIRA,"27",708.19,15.745
"3","2",CONSORZIO D'IRRIGAZIONE CANALE BROBBIO - PESIO DI MIGLIORAMENTO FONDIARIO,"26",4184.65,6.422
"2","2",CONSORZIO IRRIGUO TAVOLERA DI TRINITA',"24",1444.14,0.598
"2","2",CONSORZIO IRRIGUO TAVOLERA SAVELLA,"24",1920.62,338.315
"5","1",CONSORZIO IRRIGUO CANALE PRATIVAI,"18",77.85,1.065
"5","1",CONSORZIO IRRIGUO POZZO PIGNOLO,"18",101.37,0.702
"5","1",CONSORZIO IRRIGUO POZZO FALLETTA E CANALE FALLETTA,"18",58.25,0.973
"5","1",CONSORZIO IRRIGUO CANALE ATTISSANO,"18",791.18,5.801
"5","1",CONSORZIO IRRIGUO PRESA IDRICA DI SAN VITALE,"18",292.99,1.945
"5","1",CONSORZIO IRRIGUO POZZO LOSA,"18",133.23,1.047
"5","1",CONSORZIO IRRIGUO POZZO RAMONDA',"18",133.37,0.460
"5","1",CONSORZIO IRRIGUO CANALE RONCAGLIA,"18",354.97,0.088
"5","1",CONSORZIO IRRIGUO CANALE LOSA,"18",273.60,3.654
"3","3",CONSORZIO D'IRRIGAZIONE CANALE BROBBIO - PESIO DI MIGLIORAMENTO FONDIARIO,"26",4184.65,24.236
"3","2",CONSORZIO IRRIGUO TAVOLERA SAVELLA,"24",1920.62,3.447
